feature,importance
normalized_cycle,0.85363126
PC7,0.036849648
sensor_measurement_15,0.022648033
PC5,0.020485245
PC8,0.019586127
PC6,0.0061912113
sensor_measurement_14_var,0.0045449636
sensor_measurement_14,0.0034868342
sensor_measurement_10_var,0.0027317344
operational_setting_3_var,0.0023668043
sensor_measurement_16_var,0.0023374832
sensor_measurement_11_var,0.00221562
operational_setting_1_var,0.0020299433
sensor_measurement_8_var,0.001860319
sensor_measurement_8,0.0017769431
PC3,0.0017573632
sensor_measurement_2_var,0.0015383407
sensor_measurement_15_var,0.0014305573
PC4,0.0014131363
sensor_measurement_1_var,0.0013381618
sensor_measurement_11,0.0012948596
sensor_measurement_14_std,0.0012827367
PC2,0.0012187836
operational_setting_2_var,0.0011666777
sensor_measurement_1_slope,0.0011335448
sensor_measurement_10_std,0.0010011803
sensor_measurement_14_slope,0.0007917393
PC9,0.0007667351
PC1,0.00058697484
operational_setting_1_std,0.00042042625
operational_setting_2_std,0.000111108966
operational_setting_3_std,5.4008774e-06
sensor_measurement_1,0.0
operational_setting_3,0.0
operational_setting_1,0.0
sensor_measurement_2,0.0
sensor_measurement_10,0.0
operational_setting_2,0.0
sensor_measurement_1_std,0.0
operational_setting_1_slope,0.0
sensor_measurement_16_std,0.0
sensor_measurement_15_std,0.0
sensor_measurement_11_std,0.0
sensor_measurement_2_std,0.0
sensor_measurement_8_std,0.0
sensor_measurement_16,0.0
sensor_measurement_11_slope,0.0
sensor_measurement_16_slope,0.0
sensor_measurement_15_slope,0.0
operational_setting_3_slope,0.0
operational_setting_2_slope,0.0
sensor_measurement_2_slope,0.0
sensor_measurement_8_slope,0.0
sensor_measurement_10_slope,0.0
PC10,0.0
